00	80	0	0	0	0	0
01	81	0	0	0	0	0
02	82	0	0	0	0	0
03	83	0	0	0	0	0
04	84	0	0	0	0	0
05	85	0	0	0	0	0
06	86	0	0	0	0	0
07	87	0	0	0	0	0
08	88	0	0	0	0	0
09	89	0	0	0	0	0
0a	8a	0	0	0	0	0
0b	8b	0	0	0	0	0
0c	8c	0	0	0	0	0
0d	8d	0	0	0	0	0
0e	8e	0	0	0	0	0
0f	8f	0	0	0	0	0
10	90	0	0	0	0	0
11	91	0	0	0	0	0
12	92	0	0	0	0	0
13	93	0	0	0	0	0
14	94	0	0	0	0	0
15	95	0	0	0	0	0
16	96	0	0	0	0	0
17	97	0	0	0	0	0
18	98	0	0	0	0	0
19	99	0	0	0	0	0
1a	9a	0	0	0	0	0
1b	9b	0	0	0	0	0
1c	9c	0	0	0	0	0
1d	9d	0	0	0	0	0
1e	9e	0	0	0	0	0
1f	9f	0	0	0	0	0
20	a0	0	0	0	0	0
21	a1	0	0	0	0	0
22	a2	0	0	0	0	0
23	a3	0	0	0	0	0
24	a4	0	0	0	0	0
25	a5	0	0	0	0	0
26	a6	0	0	0	0	0
27	a7	0	0	0	0	0
28	a8	0	0	0	0	0
29	a9	0	0	0	0	0
2a	aa	0	0	0	0	0
2b	ab	0	0	0	0	0
2c	ac	0	0	0	0	0
2d	ad	0	0	0	0	0
2e	ae	0	0	0	0	0
2f	af	0	0	0	0	0
30	b0	0	0	0	0	0
31	b1	0	0	0	0	0
32	b2	0	0	0	0	0
33	b3	0	0	0	0	0
34	b4	0	0	0	0	0
35	b5	0	0	0	0	0
36	b6	0	0	0	0	0
37	b7	0	0	0	0	0
38	b8	0	0	0	0	0
39	b9	0	0	0	0	0
3a	ba	0	0	0	0	0
3b	bb	0	0	0	0	0
3c	bc	0	0	0	0	0
3d	bd	0	0	0	0	0
3e	be	0	0	0	0	0
3f	bf	0	0	0	0	0
